,C,H,N,O,P,S
Aspartate,4.00,7.00,1.00,4.00,0.00,0.00
Argininosuccinate,10.00,18.00,4.00,6.00,0.00,0.00
Fumarate,4.00,4.00,0.00,4.00,0.00,0.00
Arginine,6.00,14.00,4.00,2.00,0.00,0.00
Urea,1.00,4.00,2.00,1.00,0.00,0.00
Ornithine,5.00,12.00,2.00,2.00,0.00,0.00
Carbamoyl phosphate,1.00,4.00,1.00,5.00,1.00,0.00
Citrulline,6.00,13.00,3.00,3.00,0.00,0.00
ATP,10.00,16.00,5.00,13.00,3.00,0.00
AMP,10.00,14.00,5.00,7.00,1.00,0.00
Diphosphate,0.00,4.00,0.00,7.00,2.00,0.00
Water,0.00,2.00,0.00,1.00,0.00,0.00
Orthophos,0.00,3.00,0.00,4.00,1.00,0.00
O2,0.00,0.00,0.00,2.00,0.00,0.00
NADPH,21.00,30.00,7.00,17.00,3.00,0.00
H+,0.00,1.00,0.00,0.00,0.00,0.00
NO,0.00,0.00,1.00,1.00,0.00,0.00
NADP+,21.00,29.00,7.00,17.00,3.00,0.00
